Type,ID,Title,minMinutes Played,hrsHours Played,Default Price (USD),Release Date,Developers,Publishers,Metascore,Windows,Mac,Linux,MBInstall Size (MB),GBInstall Size (GB),Controller Support,Multiplayer,Genres
Game,260790,1001 Spikes,0,0.0,14.99,"Jun 3, 2014","Nicalis, Inc.","Nicalis, Inc.",,1,1,1,256,0.3,partial,1,"Action,                                                                       Adventure,                                                                       Indie"
App,223850,3DMark,0,0.0,24.99,"Feb 4, 2013",Futuremark,Futuremark,,1,0,0,3000,3.0,none,,Utilities
Game,370300,8-Bit Adventures: The Forgotten Journey Remastered Edition,0,0.0,9.99,"May 22, 2015",Critical Games,Critical Games,,1,0,0,100,0.1,None,,"Adventure,                                                                       Indie,                                                                       RPG"
Game,381780,80  Days,0,0.0,0.0,"Sep 29, 2015","inkle Ltd,                                                                       Cape Guy Ltd",inkle Ltd,,1,1,0,2000,2.0,None,,"Adventure,                                                                       Strategy"
Game,296910,8BitBoy,0,0.0,3.99,"May 5, 2014",AwesomeBlade,AwesomeBlade,,1,1,0,100,0.1,full,,"Action,                                                                       Casual,                                                                       Indie"
Game,327410,A Bird Story,0,0.0,4.99,"Nov 7, 2014",Freebird Games,Freebird Games,67,1,1,1,200,0.2,partial,,"Adventure,                                                                       Indie,                                                                       RPG"
Game,281200,A Boy and His Blob,0,0.0,9.99,"Jan 19, 2016","Abstraction Games,                                                                       WayForward","Midnight City,                                                                       Majesco",,1,1,1,0,0,None,,Adventure
Game,229810,A Fistful of Gun,0,0.0,0.0,Spring 2015,FarmerGnome,Devolver Digital,,1,0,0,600,0.6,full,1,"Action,                                                                       Indie"
Game,456210,A Land Fit For Heroes,0,0.0,9.99,"May 3, 2016",Liber Primus Games,Liber Primus Games,,1,0,0,0,0,None,,"Adventure,                                                                       Indie,                                                                       RPG,                                                                       Strategy"
Game,278360,A Story About My Uncle,0,0.0,12.99,"May 28, 2014",Gone North Games,Coffee Stain Studios,76,1,0,0,2000,2.0,full,,"Adventure,                                                                       Casual,                                                                       Indie"
